ref_line	ref_widx	storr	benloew	boeckh	bothe	brown	colonna	dain	dawe	griffith	hermann	jebb	lj	pearson	reinhardt
714	4098	ἀπόλλυται.	ἀπόλλυται.	ἀπόλλυται.	ἀπόλλυται·	ἀπόλλυται.	ἀπόλλυται.	ἀπόλλυται.	ἀπόλλυται.	ἀπόλλυται.	ἀπόλλυται.	ἀπόλλυται.	ἀπόλλυται.	ἀπόλλυται.	ἀπόλλυται.
715	4099	αὕτως	αὕτως	αὔτως	αὕτως	αὔτως	αὔτως	αὔτως	αὔτως	αὕτως	αὔτως	αὕτως	αὔτως	αὔτως	αὕτως
715	4100	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ	δὲ
715	4101	ναὸς	ναὸς	ναὸς	ναὸς	ναὸς	ναὸς	ναὸς	ναὸς	ναὸς	ναὸς	ναὸς	ναὸς	ναὸς	ναὸς
715	4102	ὅστις	ὅστις	ὅστις	ὅστις	ὅστις	ὅστις	ὅστις	ὅστις	ὅστις	ὅστις	ὅστις	ὅστις	ὅστις	ὅστις
715	4103	ἐγκρατῆ	ἐγκρατὴς	ἐγκρατὴς	ἐγκρατὴς,	ἐγκρατῆ	ἐγκρατὴς	ἐγκρατὴς	ἐγκρατῆ	ἐγκρατῆ	ἐγκρατῆ	ἐγκρατῆ	ἐν	ἐγκρατῆ	ἐγκρατὴς
715	4104	πόδα	πόδα	πόδα	πόδα	πόδα	πόδα	πόδα	πόδα	πόδα	πόδα	πόδα	πόδα	πόδα	πόδα
716	4105	τείνας	τείνας,	τείνας	τείνας,	τείνας	τείνας	τείνας	τείνας	τείνας	τείνας	τείνας	τείνας	τείνας	τείνας
716	4106	ὑπείκει	ὑπείκει	ὑπείκει	ὑπείκει	ὑπείκει	ὑπείκει	ὑπείκει	ὑπείκει	ὑπείκει	ὑπείκει	ὑπείκει	ὑπείκει	ὑπείκει	ὑπείκει
716	4107	μηδέν,	μηδὲν,	μηδέν,	μηδὲν,	μηδέν,	μηδέν,	μηδέν,	μηδέν,	μηδέν,	μηδέν,	μηδέν,	μηδέν,	μηδέν,	μηδέν,
716	4108	ὑπτίοις	ὑπτίοις,	ὑπτίοις	ὑπτίοις,	ὑπτίοις	ὑπτίοις	ὑπτίοις	ὑπτίοις	ὑπτίοις	ὑπτίοις	ὑπτίοις	ὑπτίοις	ὑπτίοις	ὑπτίοις
716	4109	κάτω	κάτω	κάτω	κάτω	κάτω	κάτω	κάτω	κάτω	κάτω	κάτω	κάτω	κάτω	κάτω	κάτω
717	4110	στρέψας	στρέψας,	στρέψας	στρέψας,	στρέψας	στρέψας	στρέψας	στρέψας	στρέψας	στρέψας	στρέψας	στρέψας	στρέψας	στρέψας
717	4111	τὸ	τὸ	τολοιπὸν	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ
717	4112	λοιπὸν	λοιπὸν		λοιπὸν	λοιπὸν	λοιπὸν	λοιπὸν	λοιπὸν	λοιπὸν	πλοῖον	λοιπὸν	λοιπὸν	λοιπὸν	λοιπὸν
717	4113	σέλμασιν	σέλμασιν	σέλμασιν	σέλμασιν	σέλμασιν	σέλμασιν	σέλμασιν	σέλμασιν	σέλμασιν	σέλμασιν	σέλμασιν	σέλμασιν	σέλμασιν	σέλμασιν
717	4114	ναυτίλλεται.	ναυτίλλεται.	ναυτίλλεται.	ναυτίλλεται.	ναυτίλλεται.	ναυτίλλεται.	ναυτίλλεται.	ναυτίλλεται.	ναυτίλλεται.	ναυτίλλεται.	ναυτίλλεται.	ναυτίλλεται.	ναυτίλλεται.	ναυτίλλεται.
718	4115	ἀλλʼ	ἀλλ᾽	ἀλλ᾽	ἀλλ᾽	ἀλλ’	ἀλλ᾽	ἀλλ’	ἀλλ᾽	ἀλλ᾽	ἀλλ᾽	ἀλλ᾽	ἀλλ᾿	ἀλλ᾽	ἀλλ᾽
718	4116	εἶκε	εἶκε	εἶκε	εἶκε	εἶκε	εἶκε,	εἶκε,	εἶκε	εἶκε	εἶκε,	εἶκε	εἶκε	εἶκε	εἶκε
718	4117	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ
718	4118	θυμῷ													
718	4119	μετάστασιν	μετάστασιν	μετάστασιν	μετάστασιν	μετάστασιν	μετάστασιν	μετάστασιν	μετάστασιν	μετάστασιν	μετάστασιν	μετάστασιν	μετάστασιν	μετάστασιν	μετάστασιν
718	4120	δίδου.	δίδου.	δίδου.	δίδου·	δίδου.	δίδου.	δίδου.	δίδου.	δίδου.	δίδου.	δίδου.	δίδου.	δίδου.	δίδου.
719	4121	γνώμη	γνώμη	γνώμη	γνώμη	γνώμη	γνώμη	γνώμη	γνώμη	γνώμη	γνώμη	γνώμη	γνώμη	γνώμη	γνώμη
719	4122	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ
719	4123	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ
719	4124	τις	τις	τις	τις	τις	τις	τις	τις	τις	τις	τις	τις	τις	τις
719	4125	κἀπʼ	κἀπ᾽	κἀπ᾽	κἀπ᾽	κἀπ᾽	κἀπ᾽	κἀπ’	κἀπ᾽	κἀπ᾽	κἀπ᾽	κἀπ᾽	κἀπ᾿	κἀπ᾽	κἀπ᾽
719	4126	ἐμοῦ	ἐμοῦ	ἐμοῦ	ἐμοῦ	ἐμοῦ	ἐμοῦ	ἐμοῦ	ἐμοῦ	ἐμοῦ	ἐμοῦ	ἐμοῦ	ἐμοῦ	ἐμοῦ	ἐμοῦ
719	4127	νεωτέρου	νεωτέρου	νεωτέρου	νεωτέρου	νεωτέρου	νεωτέρου	νεωτέρου	νεωτέρου	νεωτέρου	νεωτέρου	νεωτέρου	νεωτέρου	νεωτέρου	νεωτέρου
720	4128	πρόσεστι,	πρόσεστι,	πρόσεστι,	πρόσεστι,	πρόσεστι,	πρόσεστι,	πρόσεστι,	πρόσεστι,	πρόσεστι,	πρόσεστι,	πρόσεστι,	πρόσεστι,	πρόσεστι,	πρόσεστι,
720	4129	φήμʼ	φήμ᾽	φήμ᾽	φήμ᾽	φήμ᾽	φήμ᾽	φήμ’	φήμ᾽	φήμ᾽	φήμ᾽	φήμ᾽	φήμ᾿	φήμ᾽	φήμ᾽
720	4130	ἔγωγε	ἔγωγε	ἔγωγε	ἔγωγε	ἔγωγε	ἔγωγε	ἔγωγε	ἔγωγε	ἔγωγε	ἔγωγε	ἔγωγε	ἔγωγε	ἔγωγε	ἔγωγε
720	4131	πρεσβεύειν	πρεσβεύειν	πρεσβεύειν	πρεσβεύειν	πρεσβεύειν	πρεσβεύειν	πρεσβεύειν	πρεσβεύειν	πρεσβεύειν	πρεσβεύειν	πρεσβεύειν	πρεσβεύειν	πρεσβεύειν	πρεσβεύειν
720	4132	πολὺ	πολὺ	πολύ.	πολὺ,	πολὺ	πολὺ	πολὺ	πολὺ	πολὺ	πολύ,	πολὺ	πολὺ	πολὺ	πολὺ
721	4133	φῦναι	φῦναι	φῦναι	φῦναι	φῦναί	φῦναι	φῦναι	φῦναί	φῦναι	φῦναι	φῦναι	φῦναι	φῦναί	φῦναι
721	4134	τὸν	τὸν	τὸν	τὸν	τιν’	τὸν	τὸν	τιν᾽	τὸν	τὸν	τὸν	τὸν	τιν᾽	τὸν
721	4135	ἄνδρα	ἄνδρα	ἄνδρα	ἄνδρα	ἄνδρα	ἄνδρα	ἄνδρα	ἄνδρα	ἄνδρα	ἄνδρα	ἄνδρα	ἄνδρα	ἄνδρα	ἄνδρα
721	4136	πάντʼ	πάντ᾽	πάντ᾽	πάντ᾽	πάντ᾽	πάντ᾽	πάντ’	πάντ᾽	πάντ᾽	πάντ᾽	πάντ᾽	πάντ᾿	πάντ᾽	πάντ᾽
721	4137	ἐπιστήμης	ἐπιστήμης	ἐπιστήμης	ἐπιστήμης	ἐπιστήμης	ἐπιστήμης	ἐπιστήμης	ἐπιστήμης	ἐπιστήμης	ἐπιστήμης	ἐπιστήμης	ἐπιστήμης	ἐπιστήμης	ἐπιστήμης
721	4138	πλέων·	πλέων·	πλέων·	πλέων·	πλέων·	πλέων·	πλέων·	πλέων·	πλέων·	πλέων·	πλέων·	πλέων·	πλέων·	πλέων·
722	4139	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ
722	4140	δʼ	δ᾽	δ᾽	δ᾽	δ’	δ᾽	δ’	δ᾽	δ᾽	δ᾽	δ᾽	δ᾿	δ᾽	δ᾽
722	4141	οὖν,	οὖν	οὖν,	οὖν	οὖν,	οὖν,	οὖν,	οὖν,	οὖν,	οὖν,	οὖν,	οὖν,	οὖν,	οὖν,
722	4142	φιλεῖ	(φιλεῖ	φιλεῖ	(φιλεῖ	φιλεῖ	φιλεῖ	φιλεῖ	φιλεῖ	φιλεῖ	φιλεῖ	φιλεῖ	φιλεῖ	φιλεῖ	φιλεῖ
722	4143	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ
722	4144	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο	τοῦτο
722	4145	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ
722	4146	ταύτῃ	ταύτῃ	ταύτῃ	ταύτῃ	ταύτηι	ταύτῃ	ταύτῃ	ταύτηι	ταύτηι	ταύτῃ	ταύτῃ	ταύτῃ	ταύτῃ	ταύτηι
722	4147	ῥέπειν,	ῥέπειν)	ῥέπειν,	ῥέπειν),	ῥέπειν,	ῥέπειν,	ῥέπειν,	ῥέπειν,	ῥέπειν,	ῥέπειν,	ῥέπειν,	ῥέπειν,	ῥέπειν,	ῥέπειν,
723	4148	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ
723	4149	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν	τῶν
723	4150	λεγόντων	λεγόντων	λεγόντων	λεγόντων	λεγόντων	λεγόντων	λεγόντων	λεγόντων	λεγόντων	λεγόντων	λεγόντων	λεγόντων	λεγόντων	λεγόντων
723	4151	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ,	εὖ	εὖ	εὖ	εὖ
723	4152	καλὸν	καλὸν	καλὸν	καλὸν	καλὸν	καλὸν	καλὸν	καλὸν	καλὸν	καλὸν	καλὸν	καλὸν	καλὸν	καλὸν
723	4153	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ
723	4154	μανθάνειν.	μανθάνειν.	μανθάνειν.	μανθάνειν.	μανθάνειν.	μανθάνειν.	μανθάνειν.	μανθάνειν.	μανθάνειν.	μανθάνειν.	μανθάνειν.	μανθάνειν.	μανθάνειν.	μανθάνειν.
724	4155	ἄναξ,	ἄναξ,	ἄναξ,	ἄναξ,	ἄναξ,	ἄναξ,	ἄναξ,	ἄναξ,	ἄναξ,	ἄναξ,	ἄναξ,	ἄναξ,	ἄναξ,	ἄναξ,
724	4156	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ
724	4157	τʼ	τ᾽	τ᾽	τ᾽	τ᾽	τ᾽	τ’	τ᾽	τ᾽	τ᾽	τ᾽	τ᾿	τ᾽	τ᾽
724	4158	εἰκός,	εἰκὸς,	εἰκός,	εἰκὸς,	εἰκός,	εἰκός,	εἰκός,	εἰκός,	εἰκός,	εἰκός,	εἰκός,	εἰκός,	εἰκός,	εἰκός,
724	4159	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ	εἴ
724	4160	τι	τι	τι	τι	τι	τι	τι	τι	τι	τι	τι	τι	τι	τι
724	4161	καίριον	καίριον	καίριον	καίριον	καίριον	καίριον	καίριον	καίριον	καίριον	καίριον,	καίριον	καίριον	καίριον	καίριον
724	4162	λέγει,	λέγει,	λέγει,	λέγει,	λέγει,	λέγει,	λέγει,	λέγει,	λέγει,	λέγει,	λέγει,	λέγει,	λέγει,	λέγει,
725	4163	μαθεῖν,	μαθεῖν,	μαθεῖν,	μαθεῖν,	μαθεῖν,	μαθεῖν,	μαθεῖν,	μαθεῖν,	μαθεῖν,	μαθεῖν,	μαθεῖν,	μαθεῖν,	μαθεῖν,	μαθεῖν,
725	4164	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ	σέ
725	4165	τʼ	τ᾽	τ᾽	τ᾽	τ᾽	τ᾽	τ’	τ᾽	τ᾽	τ᾽	τ᾽	τ᾿	τ᾽	τ᾽
725	4166	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ	αὖ
725	4167	τοῦδʼ·	τοῦδ᾽·	τοῦδ᾽·	τοῦδ᾽·	τοῦδ᾽·	τοῦδ᾽·	τοῦδ’·	τοῦδ᾽	τοῦδ'·	τοῦδ᾽·	τοῦδ᾽·	τοῦδ᾿·	τοῦδ᾽.	τοῦδ᾽·
725	4168	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ	εὖ
725	4169	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ
725	4170	εἴρηται	εἴρηται	εἴρηται	εἴρηται	εἴρηται	εἴρηται	εἴρηται	εἴρηται	εἴρηται	εἴρηται	εἴρηται	εἴρηται	εἴρηται	εἴρηται
725	4171	διπλῇ.	διπλᾶ.	διπλῇ.	διπλᾶ.	διπλῆι.	διπλᾶ.	διπλᾶ.	διπλῆι.	διπλῆι.	διπλῇ.	διπλᾶ.	διπλῇ.	διπλῇ.	διπλῆι.
726	4172	οἱ	οἱ	οἱ	οἱ	οἱ	οἱ	οἱ	οἱ	οἱ	οἱ	οἱ	οἱ	οἱ	οἱ
726	4173	τηλικοίδε	τηλικοίδε	τηλικοίδε	τηλικοίδε	τηλικοίδε	τηλικοίδε	τηλικοίδε	τηλικοίδε	τηλικοίδε	τηλικοίδε,	τηλικοίδε	τηλικοίδε	τηλικοίδε	τηλικοίδε
726	4174	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ	καὶ
726	4175	διδαξόμεσθα	διδαξόμεσθα	διδαξόμεσθα	διδαξόμεσθα	διδαξόμεσθα	διδαξόμεσθα	διδαξόμεσθα	διδαξόμεσθα	διδαξόμεσθα	διδαξόμεσθα	διδαξόμεσθα	διδαξόμεσθα	διδαξόμεσθα	διδαξόμεσθα
726	4176	δὴ	δὴ	δὴ	δὴ	δὴ	δὴ	δὴ	δὴ	δὴ	δὴ	δὴ	δὴ	δὴ	δὴ
727	4177	φρονεῖν	φρονεῖν	φρονεῖν	φρονεῖν	φρονεῖν	φρονεῖν	φρονεῖν	φρονεῖν	φρονεῖν	φρονεῖν	φρονεῖν	φρονεῖν	φρονεῖν	φρονεῖν
727	4178	ὑπʼ	πρὸς	πρὸς	πρὸς	πρὸς	ὑπ᾽	ὑπ’	πρὸς	πρὸς	πρὸς	ὑπ᾽	πρὸς	πρὸς	ὑπ᾽
727	4179	ἀνδρὸς	ἀνδρὸς	ἀνδρὸς	ἀνδρὸς	ἀνδρὸς	ἀνδρὸς	ἀνδρὸς	ἀνδρὸς	ἀνδρὸς	ἀνδρὸς	ἀνδρὸς	ἀνδρὸς	ἀνδρὸς	ἀνδρὸς
727	4180	τηλικοῦδε	τηλικοῦδε	τηλικοῦδε	τηλικοῦδε	τηλικοῦδε	τηλικοῦδε	τηλικοῦδε	τηλικοῦδε	τηλικοῦδε	τηλικοῦδε	τηλικοῦδε	τηλικοῦδε	τηλικοῦδε	τηλικοῦδε
727	4181	τὴν	τὴν	τὴν	τὴν	τὴν	τὴν	τὴν	τὴν	τὴν	τὴν	τὴν	τὴν	τὴν	τὴν
727	4182	φύσιν;	φύσιν	φύσιν;	φύσιν;	φύσιν;	φύσιν;	φύσιν;	φύσιν;	φύσιν;	φύσιν;	φύσιν;	φύσιν;	φύσιν;	φύσιν;
728	4183	μηδὲν	μηδὲν	μηδὲν	μηδὲν	μηδὲν	μηδὲν	μηδὲν	μηδὲν	μηδέν	μηδὲν	μηδὲν	μηδέν	μηδὲν	μηδὲν
728	4184	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	τὸ	γ᾽	τὸ	τὸ	γ᾿	τὸ	τὸ
728	4185	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ	μὴ
728	4186	δίκαιον·	δίκαιον·	δίκαιον·	δίκαιον·	δίκαιον·	δίκαιον·	δίκαιον·	δίκαιον·	δίκαιον·	δίκαιον·	δίκαιον·	δίκαιον·	δίκαιον·	δίκαιον·
728	4187	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ	εἰ
728	4188	δʼ	δ᾽	δ᾽	δ᾽	δ᾽	δ᾽	δ’	δ᾽	δ᾽	δ᾽	δ᾽	δ᾿	δ᾽	δ᾽
728	4189	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ	ἐγὼ
728	4190	νέος,	νέος,	νέος,	νέος,	νέος,	νέος,	νέος,	νέος,	νέος,	νέος,	νέος,	νέος,	νέος,	νέος,
729	4191	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ	οὐ
729	4192	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν	τὸν
729	4193	χρόνον	χρόνον	χρόνον	χρόνον	χρόνον	χρόνον	χρόνον	χρόνον	χρόνον	χρόνον	χρόνον	χρόνον	χρόνον	χρόνον
729	4194	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ
729	4195	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον	μᾶλλον
729	4196	ἢ	ἢ	ἢ	ἢ	ἢ	ἢ	ἢ	ἢ	ἢ	ἢ	ἢ	ἢ	ἢ	ἢ
729	4197	τἄργα	τἄργα	τἄργα	τἄργα	τἄργα	τἄργα	τἄργα	τἄργα	τἄργα	τἄργα	τἄργα	τἄργα	τἄργα	τἄργα
729	4198	σκοπεῖν.	σκοπεῖν.	σκοπεῖν.	σκοπεῖν.	σκοπεῖν.	σκοπεῖν.	σκοπεῖν.	σκοπεῖν.	σκοπεῖν.	σκοπεῖν.	σκοπεῖν.	σκοπεῖν.	σκοπεῖν.	σκοπεῖν.
730	4199	ἔργον	ἔργον	ἔργον	ἔργον	ἔργον	ἔργον	ἔργον	ἔργον	ἔργον	ἔργον	ἔργον	ἔργον	ἔργον	ἔργον
730	4200	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ	γάρ
730	4201	ἐστι	ἐστι	ἐστι	ἐστι	ἐστι	ἐστι	ἐστι	ἐστι	ἐστι	ἐστι	ἐστι	ἐστι	ἐστι	ἐστι
730	4202	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς
730	4203	ἀκοσμοῦντας	ἀκοσμοῦντας	ἀκοσμοῦντας	ἀκοσμοῦντας	ἀκοσμοῦντας	ἀκοσμοῦντας	ἀκοσμοῦντας	ἀκοσμοῦντας	ἀκοσμοῦντας	ἀκοσμοῦντας	ἀκοσμοῦντας	ἀκοσμοῦντας	ἀκοσμοῦντας	ἀκοσμοῦντας
730	4204	σέβειν;	σέβειν;	σέβειν;	σέβειν	σέβειν;	σέβειν	σέβειν;	σέβειν;	σέβειν;	σέβειν;	σέβειν;	σέβειν;	σέβειν;	σέβειν;
731	4205	οὐδʼ	οὐδ᾽	οὐδ᾽	οὐδ᾽	οὔ	οὐδ᾽	οὐδ’	οὔ	οὐδ᾽	οὐδ᾽	οὐδ᾽	οὐδ᾿	οὐδ᾽	οὐδ᾽
731	4206	ἂν	ἂν	ἂν	ἂν	τἂν	ἂν	ἂν	τἂν	ἂν	ἂν	ἂν	ἂν	ἂν	ἂν
731	4207	κελεύσαιμʼ,	κελεύσαιμ᾽	κελεύσαιμ᾽	κελεύσαιμ᾽	κελεύσαιμ᾽	κελεύσαιμ᾽	κελεύσαιμ’	κελεύσαιμ᾽	κελεύσαιμ᾽	κελεύσαιμ᾽	κελεύσαιμ᾽	κελεύσαιμ᾿	κελεύσαιμ᾽	κελεύσαιμ᾽
731	4208	εὐσεβεῖν	εὐσεβεῖν	εὐσεβεῖν	εὐσεβεῖν	εὐσεβεῖν	εὐσεβεῖν	εὐσεβεῖν	εὐσεβεῖν	εὐσεβεῖν	εὐσεβεῖν	εὐσεβεῖν	εὐσεβεῖν	εὐσεβεῖν	εὐσεβεῖν
731	4209	εἰς	ἐς	ἐς	ἐς	εἰς	εἰς	εἰς	εἰς	ἐς	εἰς	εἰς	ἐς	ἐς	εἰς
731	4210	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς	τοὺς
731	4211	κακούς.	κακούς.	κακούς.	κακούς.	κακούς.	κακούς.	κακούς.	κακούς.	κακούς.	κακούς.	κακούς.	κακούς.	κακούς.	κακούς.
732	4212	οὐχ	οὐχ	οὐχ	οὐχ	οὐχ	οὐχ	οὐχ	οὐχ	οὐχ	οὐχ	οὐχ	οὐχ	οὐχ	οὐχ
732	4213	ἥδε	ἥδε	ἥδε	ἥδε	ἥδε	ἥδε	ἥδε	ἥδε	ἥδε	ἥδε	ἥδε	ἥδε	ἥδε	ἥδε
732	4214	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ
732	4215	τοιᾷδʼ	τοιᾷδ᾽	τοιᾷδ᾽	τοιᾷδ᾽	τοιᾶιδ᾽	τοιᾷδ᾽	τοιᾷδ’	τοιᾶιδ᾽	τοιᾶιδ᾽	τοιᾷδ᾽	τοιᾷδ᾽	τοιᾷδ᾿	τοιᾷδ᾽	τοιᾶιδ᾽
732	4216	ἐπείληπται	ἐπείληπται	ἐπείληπται	ἐπείληπται	ἐπείληπται	ἐπείληπται	ἐπείληπται	ἐπείληπται	ἐπείληπται	ἐπείληπται	ἐπείληπται	ἐπείληπται	ἐπείληπται	ἐπείληπται
732	4217	νόσῳ;	νόσῳ;	νόσῳ;	νόσῳ;	νόσωι;	νόσῳ	νόσῳ;	νόσωι;	νόσωι;	νόσῳ;	νόσῳ;	νόσῳ;	νόσῳ;	νόσωι;
733	4218	οὔ	οὔ	οὔ	οὔ	οὔ	οὔ	οὔ	οὔ	οὔ	οὔ	οὔ	οὔ	οὔ	οὔ
733	4219	φησι	φησι	φησι	φησι	φησι	φησι	φησι	φησι	φησι	φησι	φησι	φησι	φησι	φησι
733	4220	Θήβης	Θήβης	Θήβης	Θήβης	Θήβης	Θήβης	Θήβης	Θήβης	Θήβης	Θήβης	Θήβης	Θήβης	Θήβης	Θήβης
733	4221	τῆσδʼ	τῆσδ᾽	τῆσδ᾽	τῆσδ᾽	τῆσδ᾽	τῆσδ᾽	τῆσδ’	τῆσδ᾽	τῆσδ᾽	τῆσδ᾽	τῆσδ᾽	τῆσδ᾿	τῆσδ᾽	τῆσδ᾽
733	4222	ὁμόπτολις	ὁμόπτολις	ὁμόπτολις	ὁμόπτολις	ὁμόπτολις	ὁμόπτολις	ὁμόπτολις	ὁμόπτολις	ὁμόπτολις	ὁμόπτολις	ὁμόπτολις	ὁμόπτολις	ὁμόπτολις	ὁμόπτολις
733	4223	λεώς.	λεώς.	λεώς.	λεώς.	λεώς.	λεώς.	λεώς.	λεώς.	λεώς.	λεώς.	λεώς.	λεώς.	λεώς.	λεώς.
734	4224	πόλις	πόλις	πόλις	πόλις	πόλις	πόλις	πόλις	πόλις	πόλις	πόλις	πόλις	πόλις	πόλις	πόλις
734	4225	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ	γὰρ
734	4226	ἡμῖν	ἡμῖν	ἧμιν,	ἡμῖν,	ἡμῖν	ἡμῖν	ἡμῖν	ἡμῖν	ἡμῖν	ἧμιν	ἡμῖν	ἡμῖν	ἡμῖν	ἡμῖν
734	4227	ἁμὲ	ἁμὲ	ἁμὲ	ἁμὲ	ἁμὲ	ἁμὲ	ἁμὲ	ἁμὲ	ἁμὲ	ἁμὲ	ἁμὲ	ἁμὲ	ἁμὲ	ἁμὲ
734	4228	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ	χρὴ
734	4229	τάσσειν	τάσσειν	τάσσειν,	τάσσειν,	τάσσειν	τάσσειν	τάσσειν	τάσσειν	τάσσειν	τάσσειν	τάσσειν	τάσσειν	τάσσειν	τάσσειν
734	4230	ἐρεῖ;	ἐρεῖ;	ἐρεῖ;	ἐρεῖ;	ἐρεῖ;	ἐρεῖ;	ἐρεῖ;	ἐρεῖ;	ἐρεῖ;	ἐρεῖ;	ἐρεῖ;	ἐρεῖ;	ἐρεῖ;	ἐρεῖ;
735	4231	ὁρᾷς	ὁρᾷς	ὁρᾷς	ὁρᾷς,	ὁρᾶις	ὁρᾷς	ὁρᾷς	ὁρᾶις	ὁρᾶις	ὁρᾷς	ὁρᾷς	ὁρᾷς	ὁρᾷς	ὁρᾶις
735	4232	τόδʼ	τόδ᾽	τόδ᾽	τάδ᾽	τόδ᾽	τόδ᾽	τόδ’	τόδ᾽	τόδ᾽	τόδ᾽	τόδ᾽	τόδ᾿	τόδ᾽	τόδ᾽
735	4233	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς
735	4234	εἴρηκας	εἴρηκας,	εἴρηκας	εἴρηκας	εἴρηκας	εἴρηκας	εἴρηκας	εἴρηκας	εἴρηκας	εἴρηκας	εἴρηκας	εἴρηκας	εἴρηκας	εἴρηκας
735	4235	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς	ὡς
